"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 27 00:39:04 CST 2023","Fri Jan 27 00:39:29 CST 2023","24856","","","","","","Add subtask and see counter is increased -- @1.3 ",""
"failed","Fri Jan 27 00:35:48 CST 2023","Fri Jan 27 00:36:01 CST 2023","13109","","","","","","Task must have minimum 3 characters",""
"passed","Fri Jan 27 00:33:33 CST 2023","Fri Jan 27 00:33:46 CST 2023","13015","","","","","","Successful login",""
"passed","Fri Jan 27 00:34:59 CST 2023","Fri Jan 27 00:35:14 CST 2023","14668","","","","","","Go to MyTasks page and create tasks -- @1.5 ",""
"passed","Fri Jan 27 00:34:42 CST 2023","Fri Jan 27 00:34:59 CST 2023","16668","","","","","","Go to MyTasks page and create tasks -- @1.4 ",""
"failed","Fri Jan 27 00:36:33 CST 2023","Fri Jan 27 00:36:53 CST 2023","19572","","","","","","Task description is read-only",""
"passed","Fri Jan 27 00:34:13 CST 2023","Fri Jan 27 00:34:26 CST 2023","13049","","","","","","Go to MyTasks page and create tasks -- @1.2 ",""
"failed","Fri Jan 27 00:36:53 CST 2023","Fri Jan 27 00:37:11 CST 2023","18191","","","","","","Subtask description is required",""
"failed","Fri Jan 27 00:37:29 CST 2023","Fri Jan 27 00:37:48 CST 2023","18526","","","","","","Due date accepts only date value on MM/dd/yyy -- @1.1 ",""
"passed","Fri Jan 27 00:35:14 CST 2023","Fri Jan 27 00:35:27 CST 2023","13599","","","","","","Verify empty task is not created",""
"passed","Fri Jan 27 00:38:26 CST 2023","Fri Jan 27 00:38:44 CST 2023","18618","","","","","","Add subtask and see counter is increased -- @1.1 ",""
"passed","Fri Jan 27 00:33:59 CST 2023","Fri Jan 27 00:34:13 CST 2023","13774","","","","","","Go to MyTasks page and create tasks -- @1.1 ",""
"failed","Fri Jan 27 00:33:46 CST 2023","Fri Jan 27 00:33:59 CST 2023","13064","","","","","","Check the title",""
"passed","Fri Jan 27 00:34:26 CST 2023","Fri Jan 27 00:34:42 CST 2023","16794","","","","","","Go to MyTasks page and create tasks -- @1.3 ",""
"passed","Fri Jan 27 00:36:15 CST 2023","Fri Jan 27 00:36:33 CST 2023","18490","","","","","","Click manage subtasks button opens up subtasks modal",""
"failed","Fri Jan 27 00:37:48 CST 2023","Fri Jan 27 00:38:07 CST 2023","19258","","","","","","Due date accepts only date value on MM/dd/yyy -- @1.2 ",""
"passed","Fri Jan 27 00:36:01 CST 2023","Fri Jan 27 00:36:15 CST 2023","13243","","","","","","Manage subtasks button",""
"passed","Fri Jan 27 00:38:44 CST 2023","Fri Jan 27 00:39:04 CST 2023","19311","","","","","","Add subtask and see counter is increased -- @1.2 ",""
"passed","Fri Jan 27 00:33:21 CST 2023","Fri Jan 27 00:33:33 CST 2023","12125","","","","","","Landing page should display navbar and email, password field and sign-in button",""
"failed","Fri Jan 27 00:38:07 CST 2023","Fri Jan 27 00:38:26 CST 2023","18530","","","","","","Due date accepts only date value on MM/dd/yyy -- @1.3 ",""
"failed","Fri Jan 27 00:35:27 CST 2023","Fri Jan 27 00:35:48 CST 2023","20903","","","","","","Hard limit task char length of 250 -- @1.1 ",""
"failed","Fri Jan 27 00:37:11 CST 2023","Fri Jan 27 00:37:29 CST 2023","18606","","","","","","Subtask due date is required",""
